artist,song,release,duration,released,label
Macario Martínez,"sueña lindo, corazón","sueña lindo, corazón / nuestra casa en el mar",2:02,2025,Te aprecio un vergo
"Ghostface Killah, Ne-Yo",Back Like That - Album Version (Edited),Fishscale (Expanded Edition),4:01,2006,Def Jam Recordings
Rob Crow,Up,Living Well,2:26,2007,Temporary Residence Ltd.
Oingo Boingo,Just Another Day,Dead Man's Party,5:12,1985,Geffen*
Lil Yachty,THE zone~,Let’s Start Here.,4:09,2023,Quality Control Music/Motown Records
Twelve Hour Turn,... to Bury the Ugly,The Victory of Flight,3:04,1999,No Idea Records
Holger Czukay,Sudetenland,Rome Remains Rome,7:23,2018,Groenland Records
Olivia Ruiz,Elle panique,I AM WOMAN - Olivia Ruiz,2:31,2023,UME - Global Clearing House
Tegan and Sara,I Bet It Stung,So Jealous,3:35,2004,Vapor/Sire
The Durutti Column,Organ Donor,Time Was Gigantic....... When We Were Kids,6:20,1998,London Music Stream/Because Music
Boards of Canada,Julie And Candy,Geogaddi,5:30,2002,Warp Records
Ballaké Sissoko,Kabou,At Peace,4:17,2012,No Format!
The Marías,Sienna,Submarine,3:44,2024,Nice Life/Atlantic
