artist,song,release,duration,released,label
Tony Allen,Alutere,Secret Agent,3:43,2009,World Circuit
Kelly Lee Owens,Jeanette,Inner Song,6:14,2020,Smalltown Supersound
Hassan I Sabbah,Not so in Tune with Shells,Hassan I Sabbah,1:15,2000,Robotic Empire
Shadow,"Way, Way Out",Sweet Sweet Dreams (Analog Africa No. 22),4:33,2016,Analog Africa
Miya Folick,I Got Drunk,Strange Darling - EP,3:49,2015,Miya Folick
Twelve Hour Turn,"I, Too, Had Potential",Bend Break Spill EP,2:57,2001,No Idea Records
Echo & the Bunnymen,Over the Wall,Heaven up Here,6:06,1981,WM UK
Yeek,3000 Miles (Baby Baby),3000 Miles (Baby Baby),2:22,2021,"Yeek, Inc."
Caetano Veloso,Lost In The Paradise - Remastered 2006,Caetano Veloso - 1969,3:27,1969,Universal Music Ltda.
"Makaya McCraven, Brandee Younger, Tomeka Reid, Dezron Douglas, Joel Ross",Holy Lands,Universal Beings,5:14,2018,International Anthem Recording Co.
Opeth,Demon Of The Fall,"My Arms, Your Hearse",6:13,1998,Spinefarm Records UK
Le Tigre,Get Off the Internet,From the Desk of Mr. Lady,3:32,2001,Le Tigre
Gilberto Gil,Expresso 2222,Expresso 2222,2:38,1972,Universal/Island Def Jam
Tay Iwar,MONICA,GEMINI,3:51,2019,Soulection
