artist,song,release,duration,released,label
Mi-gu,from space,from space,5:22,2014,Universal Music LLC
Dina Ögon,Det läcker,Orion,4:19,2024,Playground Music
Sonic Youth,Shadow of a Doubt,Evol,3:32,1986,Squeaky Squawk
DAF,Liebe Auf Den Ersten Blick,Gold Und Liebe,3:58,2016,Groenland Records
Julia Mestre,do do u,DO MEU QUARTO,1:53,2024,DO MEU QUARTO
Q,STEREO DRIVER,TODAY,3:51,2022,Columbia
Kate Bush,Constellation Of The Heart - 2018 Remaster,The Red Shoes (2018 Remaster),4:46,1993,WM UK
Youth Lagoon,Deep Red Sea,Heaven Is a Junkyard,3:24,2023,Fat Possum
Faye Webster,Right Side of My Neck,Atlanta Millionaires Club,2:33,2019,Secretly Canadian
H.E.R.,Damage,Damage,3:43,2020,RCA Records Label
Austra,Beat And The Pulse,Feel It Break (Deluxe Version),4:55,2011,Domino Recording Co
The Sundays,Don't Tell Your Mother,DGC Rarities Vol. 1,2:36,1994,DGC
Jeffrey Lewis,Time Trades,A Turn in the Dream-Songs,3:26,2011,Rough Trade
Tirzah,No Romance,No Romance,3:57,2014,Greco-Roman
