artist,song,release,duration,released,label
The Kinks,Sitting By the Riverside - 2018 Stereo Remaster,The Kinks Are The Village Green Preservation Society (2018 Deluxe),2:26,1968,Sanctuary Records
Little Simz,101 FM,GREY Area,3:11,2019,AGE 101
Bibio,À tout à l'heure,À tout à l'heure,4:09,2013,Warp Records
Modest Mouse,Wild Packs of Family Dogs,The Moon & Antarctica,1:44,2000,Epic
Wye Oak,Spiral,Spiral / Wave Is Not the Water,5:48,2017,Merge Records
Snook,Lang Gsuacht,Rapquotient,3:06,2011,Nation Music
H.E.R.,Damage,Damage,3:43,2020,RCA Records Label
Broadcast,America's Boy,Tender Buttons,3:34,2005,Warp Records
"Ali Farka Touré, Toumani Diabaté",Kaira,In the Heart of the Moon,6:24,2005,World Circuit
Ulrich Schnauss & Mark Peters,Forgotten,Underrated Silence,4:07,2012,Bureau B
Widowspeak,True Believer,The Swamps,4:45,2013,Captured Tracks
"Melingo, Gustavo Paglia, Patricio Cotella, Diego Trosman, Rodrigo Guerra",La Novia,Corazón y Hueso,2:33,2011,world village
"Kendrick Lamar, Drake",Poetic Justice,"good kid, m.A.A.d city",5:00,2012,Aftermath
Blonde Redhead,This Is for Me and I Know Everyone Knows,In an Expression of the Inexpressible,2:59,1998,Touch and Go Records
Lloyd Clifton Miller,Gol-e Gandom,Oriental Jazz,4:12,2010,East-West Records
