artist,song,release,duration,released,label
Sharon Van Etten,Afterlife,Afterlife,4:08,2024,Jagjaguwar
African-American Sound Recordings,Extended Stay,Tamika's Lodge,1:46,2022,D.O.T.
Virginia Wing,Return to View,private LIFE,3:32,2021,Fire Records
Nirvana,Plateau - Live,MTV Unplugged In New York,3:38,1994,DGC
Cleo Sol,Promises,Mother,4:24,2021,Forever Living Originals
Natalie Merchant,San Andreas Fault,Tigerlily,3:58,1995,Rhino/Elektra
Wye Oak,"Running Up That Hill (A Deal With God) - Live at The AV Club, 2014","Running Up That Hill (A Deal With God) - Live at The AV Club, 2014",4:45,2022,Merge Records
Goat Girl,words fell out,Below The Waste,3:01,2024,Rough Trade
Big Thief,Little Things,Dragon New Warm Mountain I Believe In You,5:44,2022,4AD
Laura Veirs,Drink Deep,Saltbreakers,4:36,2007,Raven Marching Band
Chelsea Wolfe,Flatlands,Unknown Rooms: A Collection of Acoustic Songs,4:00,2012,Sargent House
Fer Casillas,Tropezar,Tropezar,2:44,2025,LOV/RECS
"Daniel Ögren, Anna Ahnlund",Idag,Fastingen -92,4:45,2020,Sing a Song Fighter
大和那南,If,Before Sunrise,2:41,2021,Dull Tools
Unschooling,Wet Sidewalks,Defensive Designs,2:48,2019,Spinnup
