artist,song,release,duration,released,label
"Khalid, Swae Lee",The Ways (with Swae Lee),Black Panther The Album Music From And Inspired By,3:58,2018,Black Panther (TDE/DMG) PS
IAN SWEET,#23,Shapeshifter,3:59,2016,Hardly Art
Caetano Veloso,Carolina - Remastered 2006,Caetano Veloso - 1969,2:38,1969,Universal Music Ltda.
Daughter,Candles,His Young Heart,4:53,2012,Glassnote - VMG
Pylon,Crazy,Chomp More,3:12,1983,DFA Records
Christine and the Queens,Half Ladies,Christine and the Queens,4:18,2015,Because Music
Tiana Khasi,Nuketown,Nuketown,3:59,2018,Soul Has No Tempo
Roger Doyle,Spring Is Coming With a Strawberry in the Mouth,"Operating Theatre the Early Years, Vol. 2",4:23,2012,1185574 Records DK
A Sunny Day In Glasgow,"Sigh, inhibitionist (Come all day with me)","Autumn, Again",4:55,2010,Mis Ojos Discos
Xiu Xiu,I Luv the Valley OH!,Fabulous Muscles,2:59,2004,5RC
R.E.M.,Talk About The Passion,Murmur,3:24,1983,A&M
Sandro Perri,Wolfman,Impossible Spaces,10:35,2011,Constellation
