artist,song,release,duration,released,label
Polaris,Hey Sandy,Music From The Adventures Of Pete & Pete,2:36,2002,The Mezzotint Label
Wire,Kidney Bingos,A Bell Is a Cup Until It Is Struck,4:12,1988,"Mute, a BMG Company"
Captain Beefheart & His Magic Band,My Head Is My Only House Unless It Rains,Clear Spot,2:55,1972,Rhino/Warner Records
James,Say Something,Laid,3:26,1993,EMI
Momus,"Murderers, The Hope of Women",The Poison Boyfriend,5:20,1987,Cherry Red Records
Nina Simone,Lilac Wine,Wild Is The Wind,4:13,1966,Verve Reissues
Swallow,Lovesleep,Blow,5:00,1992,4AD
Fenomeno Fuzz,Volar,Sábado,3:44,2014,
54 Nude Honeys,No Way,54 Nude Honeys,1:26,2005,Skydog
frances mistry,live the life i'd never have,live the life i'd never have,3:48,2022,frances x
Jeffrey Lewis,Bugs & Flowers,'Em Are I,4:13,2009,Vintage Voltage
"The Golden Palominos, Michael Stipe",Boy (Go),Visions Of Excess,3:51,1985,KP&P - Celluloid N.Y
Chico Trujillo,Loca,Chico de Oro,3:07,2010,Barbès Records
Dungen,Det du tänker idag är du imorgon,Ta det lugnt,3:58,2004,Subliminal Sounds
The Jasmine Minks,What's Happening,Creation Artifact (The Dawn Of Creation Records 1983-1985),1:51,2015,Cherry Red Records
