artist,song,release,duration,released,label
Julie Doiron,Ce Charmant Coeur,Desormais,2:15,2001,Jagjaguwar
Fela Kuti,Trouble Sleep Yanga Wake Am,The Best of the Black President 2,12:03,2013,Knitting Factory
Nana Love,Talking About Music,Disco Documentary - Full of Funk,3:43,2014,BBE Music
Cryogeyser,Leach,Glitch,3:53,2019,Terrible Records
Be Bop Deluxe,Heavenly Homes,Sunburst Finish,3:36,1976,Parlophone UK
Le Tigre,Let's Run,Le Tigre,2:34,1998,Wiiija
Christine and the Queens,The stranger,Chris,4:02,2018,Because Music
Annie Lennox,Train in Vain (Stand by Me),Medusa,4:45,1995,RCA Records Label
The Dodos,Stranger,Carrier,4:02,2013,Polyvinyl Records
Soccer Mommy,Drive,Drive,4:32,2020,Loma Vista Recordings
Boards of Canada,Julie And Candy,Geogaddi,5:30,2002,Warp Records
Rubio,Fábula,Pez,3:14,2018,Cosmica
Shout Out Louds,"Oh, Sweetheart",Howl Howl Gaff Gaff,3:20,2005,Capitol Records
