artist,song,release,duration,released,label
Duran Duran,The Chauffeur - 2009 Remaster,Rio (Collector's Edition),5:21,1982,Parlophone UK
Lucy Dacus,Ankles,Ankles,3:11,2025,"Lucy Dacus, under exclusive license to Geffen Records."
"Kuaan, Leoguzpe",Sin Título (Las Personas No Desaparecen Porque Si),Sin Título (Las Personas No Desaparecen Porque Si),2:54,2023,Kuaan
Björk,Where Is the Line,Medulla,4:41,2004,Elektra Records
Austra,Beat And The Pulse,Feel It Break (Deluxe Version),4:55,2011,Domino Recording Co
Kitty Craft,Inward Jam,Beats and Breaks from the Flower Patch,2:45,1998,Takotsubo Records
Lisa LeBlanc,Dans l'jus,Chiac Disco,4:44,2022,Bonsound
Orchestral Manoeuvres In The Dark,Secret,Crush,3:56,1985,Virgin Catalogue
Laura Veirs,Don't Lose Yourself,Saltbreakers,4:01,2007,Raven Marching Band
The Revillos,Where's The Boy For Me?,Stratoplay: The Box Set,2:06,2020,Cherry Red Records
The Dodos,Confidence,Carrier,4:51,2013,Polyvinyl Records
Be Bop Deluxe,Sister Seagull,Air Age Anthology,3:39,1997,Cherry Red Records
Pet Shop Boys,Domino Dancing - 2003 Remaster,PopArt: The Hits,4:18,2003,Parlophone UK
Indigo De Souza,Take Off Ur Pants,I Love My Mom,3:40,2018,Saddle Creek
