artist,song,release,duration,released,label
Deerhoof,This Magnificent Bird Will Rise,Reveille,3:32,2002,Kill Rock Stars
SOPHIE,Is It Cold In The Water?,OIL OF EVERY PEARL'S UN-INSIDES,3:32,2018,MSMSMSM / Future Classic
Purity Ring,obedear,shrines,3:29,2012,4AD
Virginia Wing,Relativity,Ecstatic Arrow,4:22,2018,Fire Records
CHVRCHES,Night Sky,The Bones of What You Believe (Special Edition),3:51,2013,Glassnote Entertainment Group LLC
"Ballaké Sissoko, Camille",Kora,Djourou,4:23,2021,No Format!
Cex,Theme Song To Cex,Role Model,5:36,2000,Tigerbeat6
Sonic Youth,Eric's Trip (Album Version),Daydream Nation (Deluxe Edition),3:48,1988,Squeaky Squawk
Drop Nineteens,Kick The Tragedy,Delaware,8:55,1992,Caroline Records
Twelve Hour Turn,Second Story,The Victory of Flight,2:17,1999,No Idea Records
1-Speed Bike,Seattle/Washington/Prague 00/68 Chicago/Nixon/Reagan Circle-Fighting Machine,Droopy Butt Begone!,3:20,2000,Constellation
Kate Bush,Breathing - 2018 Remaster,Never for Ever (2018 Remaster),5:30,1980,Rhino
Deftones,Digital Bath,White Pony,4:15,2000,Rhino
Dexter Story,Techawit,Bahir,1:29,2019,Soundway Records
