artist,song,release,duration,released,label
Book Of Love,Boy,Book Of Love,2:59,1986,Sire/Warner Records
Experimental Products,Work That Beat,Trevor Jackson Presents Metal Dance 2,3:03,2013,Strut
Fiona Apple,The First Taste,Tidal,4:46,1996,Clean Slate/Work
Baloji,Ciel d'encre,137 Avenue Kaniama,4:36,2018,Bella Union
Tirzah,2 D I C U V,trip9love...???,3:31,2023,Domino Recording Co
Molly Drake,The First Day,The Tide's Magnificence: Songs and Poems of Molly Drake,2:39,2018,Fledg'ling
Tidiane Thiam,Dannibe Pinne,Africa Yontii,4:59,2024,Sahel Sounds
Television,Days - 2003 Remaster,Adventure,3:14,1978,Rhino/Elektra
Mr.Kitty,After Dark,Time,4:19,2014,Negative Gain Productions
Björk,All Is Full of Love,Greatest Hits,4:47,2002,Atlantic Records/ATG
Cleo Sol,When I'm in Your Arms,Rose in the Dark,5:35,2020,Forever Living Originals
Sinéad O'Connor,Just Like U Said It Would B,The Lion and the Cobra,4:31,1987,Chrysalis Records
Sampha,Only,Only,2:49,2023,Young
