artist,song,release,duration,released,label
Elkka,Make Me,Prism of Pleasure,3:44,2024,Ninja Tune
Sparks,All You Ever Think About Is Sex,In Outer Space,4:09,1983,Lil Beethoven Records
Josef K,Sorry for Laughing - Crepuscule Single Version,Young and Stupid,3:03,2014,LTM Recordings
Chastity Belt,Different Now,I Used to Spend So Much Time Alone,3:48,2017,Hardly Art
Mo-Dettes,White Mice,Make More Noise! Women In Independent Music UK 1977-1987,3:37,2020,Cherry Red Records
Genesis,In Too Deep - 2007 Remaster,Invisible Touch (2007 Remaster),5:02,1986,Rhino Atlantic
Cocteau Twins,My Love Paramour,Head Over Heels,3:39,1983,4AD
"Babyfather, Tirzah",1471,1471,1:44,2022,World Music
Cursive,The Recluse,The Ugly Organ,3:03,2003,15 Passenger
The English Beat,Mirror in the Bathroom - 2012 Remaster,I Just Can’t Stop It (2012 Remaster),3:08,1980,Rhino
Klaus Nomi,Total Eclipse,Klaus Nomi,3:30,1981,RCA Records Label
Wye Oak,Holy Holy,Civilian,4:35,2011,Merge Records
David Bowie,TVC15 - 2016 Remaster,Station to Station (2016 Remaster),5:35,1976,Parlophone UK
Caetano Veloso,Marinheiro Só - Remastered 2006,Caetano Veloso - 1969,3:29,1969,Universal Music Ltda.
Tony Allen,Losun,Lagos No Shaking,5:27,2006,Honest Jon's Records
