artist,song,release,duration,released,label
"Christine and the Queens, Manu Payet",Would I Lie to You?,Would I Lie to You?,2:47,2019,Because Music
Daft Punk,Revolution 909,"Musique, Vol. 1",5:35,2006,Daft Life Ltd./ADA France
Nonesuch Explorer Series,Pangkur (Gender Solo),INDONESIA Music from the Nonesuch Explorer Series,3:06,2008,Nonesuch
Kehlani,Keep On,SweetSexySavage (Deluxe),3:29,2017,TSNMI / Atlantic
El Perro del Mar,Home Is To Feel Like That,Pale Fire,3:15,2012,The Control Group
Love Spirals Downwards,City Moon,Flux,4:14,1998,Projekt Records
Mamaki Boys,Takkai,Takkai,4:11,2021,Sahel Sounds
Katy B,Under My Skin,Under My Skin,3:18,2021,Rinse
The Chills,Pink Frost,Kaleidoscope World,4:01,1986,Flying Nun Records
Chabati Le Jeune,Mani Mani Maane,"Maghreb K7 Club: Synth Raï, Chaoui & Staifi (1985-1997)",4:32,2020,Bongo Joe
3Ds,Meluzina Man - EP Version,"We Bury the Living, Early Recordings 1989-90",2:53,2011,Flying Nun Records
Damas Swing Orchestra,Odylife,Cameroon Garage Funk (Analog Africa No. 32),2:20,2021,Analog Africa
His Name Is Alive,Coldless,Coldless,3:30,2021,Disciples
Xscape,Love On My Mind,Hummin' Comin' At 'Cha,3:49,1993,So So Def/Columbia
Jay Som,Everybody Works,Everybody Works,3:28,2017,Polyvinyl Records
Carambolage,Tu doch nicht so,Carambolage,2:35,1980,Fuego
