artist,song,release,duration,released,label
Lizzy Mercier Descloux,Room Mate,Mambo Nassau,2:46,1981,ZE Records
Efterklang,Step Aside,Tripper + Springer (Special Edition),4:38,2004,The Leaf Label
Carly Rae Jepsen,E·mo·tion,E·mo·tion (Deluxe),3:17,2015,604 Records
Opeth,The Drapery Falls,Blackwater Park,10:52,2001,Sony BMG Music Entertainment
Dean Blunt,MUGU,BLACK METAL 2,1:39,2021,Rough Trade
Josef K,It's Kinda Funny,The Only Fun in Town,3:30,1981,Les Disques du Crepuscule
Slowdive,Souvlaki Space Station,Souvlaki,5:57,1993,Creation Records
Andrew Goes to Hell,"Cutting Yourself on the Red Line, a Public Display of Affection",Damage Control,2:37,2019,695572 Records DK
"Space Afrika, Blackhaine",B£E (feat. Blackhaine),B£E (feat. Blackhaine),2:59,2021,Dais Records
Tei Shi,Baby,Crawl Space,4:19,2017,Downtown JV
The Railway Children,Somewhere South,Recurrence,3:35,1988,Virgin Catalogue
Q And Not U,Air Conditions,Different Damage,3:58,2002,Dischord Records
MASS OF THE FERMENTING DREGS,i f a surfer,kirametal,3:35,2006,MASS OF THE FERMENTING DREGS
Noura Mint Seymali,Eguetmar,Tzenni,3:22,2014,Glitterbeat Records
