artist,song,release,duration,released,label
Blonde Redhead,Distilled,In an Expression of the Inexpressible,3:29,1998,Touch and Go Records
Mereba,Black Truck,Black Truck,4:14,2018,UMGRI Interscope
El Perro del Mar,Hold Off The Dawn,Pale Fire,4:47,2012,The Control Group
Dënver,Diane Keaton,"Música, Gramática, Gimnasia",3:53,2011,Dënver
Depeche Mode,Policy of Truth,Violator (Deluxe),4:55,1990,Venusnote Ltd.
Kississippi,Once Good,Sunset Blush,3:54,2018,Bugcrusher Records and Many Hats Distribution
Gilberto Gil,O Canto da Ema,Expresso 2222,6:24,1972,Gege
Hella,Republic of Rough and Ready,Hold Your Horse Is,3:44,2002,5RC
Pale Saints,Thread of Light,In Ribbons,4:05,1992,4AD
Naked Eyes,I Could Show You How - 2018 Remaster,Naked Eyes,3:24,1983,Chrysalis Records
Jeli Moussa Sissoko,Kankèlentigi,Ballaké (Kora Music From Mali),5:27,1997,Fuego
Vagabon,Autobahn,Sorry I Haven't Called,3:28,2023,Nonesuch
Morrissey,Interesting Drug - 2010 Remaster,Bona Drag (2010 Remaster),3:19,1990,Rhino/Warner Records
