artist,song,release,duration,released,label
Rubio,Voy Creciendo,Voy Creciendo,3:06,2025,"Rubio, Under Exclusive License To FAMA Collective"
Kitchens Of Distinction,Prize,Love Is Hell,5:26,1989,One Little Independent Records
Wand,Scarecrow,Scarecrow,5:17,2019,Drag City Records
Mabe Fratti,Pantalla azul,Sentir Que No Sabes,2:57,2024,Unheard Of Hope
Björk,Batabid,Pagan Poetry,2:26,2001,One Little Independent Records
Unwound,Corpse Pose,Repetition,3:05,1996,Numero Group
Close Lobsters,Just Too Bloody Stupid,Foxheads Stalk This Land,3:24,1987,Fire Records
"Chico Trujillo, Son Rompe Pera",Pájaro Zinzotle,Mambo Mundial,3:38,2019,Barbès Records
Tirzah,Gladly,Devotion,3:41,2018,Domino Recording Co
The MFA,The Difference It Makes - Mix Cut,Balance 005 (Mixed by James Holden) [Mixed Version],6:25,2003,Balance Music
шампур,платье,кровать цветов/платье,3:08,2023,тихий час
The Dø,Keep Your Lips Sealed,"Shake, Shook, Shaken",3:22,2015,Get Down! Under Exclusive License to Siamese Squids
Heidi Berry,Follow,Heidi Berry,5:19,1993,4AD
Sonido Gallo Negro,Bocanegra,Cumbia Salvaje,4:22,2012,Sonido Gallo Negro
