artist,song,release,duration,released,label
Goat Girl,Sad Cowboy,On All Fours,5:17,2021,Rough Trade
serpentwithfeet,Fellowship,DEACON,3:39,2021,Secretly Canadian
"Wye Oak, Brooklyn Youth Chorus",AEIOU,AEIOU,4:57,2020,Merge Records
Big Country,In A Big Country,The Crossing,4:44,1983,Island Mercury
The Dodos,Substance,Carrier,3:38,2013,Polyvinyl Records
Sleater-Kinney,One Beat,One Beat (Remastered),3:08,2002,Sub Pop Records
Q And Not U,Nine Things Everybody Knows,No Kill No Beep Beep,4:21,2000,Dischord Records
Morrissey,Interesting Drug - 2010 Remaster,Bona Drag (2010 Remaster),3:19,1990,Rhino/Warner Records
The Chills,Pink Frost,Late Night Tales: MGMT,4:01,2011,Late Night Tales
Juana Molina,Que Lleuva,Segundo,3:51,2003,Domino Recording Co.
A Sunny Day In Glasgow,"Sigh, inhibitionist (Come all day with me)","Autumn, Again",4:55,2010,Mis Ojos Discos
Various Artists,N'Guxi,African Troubadours: Best Of African Singer-Songwriters,3:48,2005,Shanachie
Kate NV,Kata,Binasu,5:48,2016,Orange Milk
