artist,song,release,duration,released,label
Indigo De Souza,Sick in the Head,I Love My Mom,3:29,2018,Saddle Creek
SOPHIE,It's Okay To Cry,OIL OF EVERY PEARL'S UN-INSIDES,3:50,2018,MSMSMSM / Future Classic
Hook,2night,"I Love You 2, Hook",3:30,2020,GC
Kississippi,Red Lights,Sunset Blush,2:37,2018,Bugcrusher Records and Many Hats Distribution
Oumou Sangaré,Kun Fe Ko,Worotan,4:05,1996,World Circuit
Snail Mail,Slug,Habit,4:35,2016,Matador
Virginia Wing,St. Francis Fountain,private LIFE,4:05,2021,Fire Records
Hop Along,How Simple,"Bark Your Head Off, Dog",3:48,2018,Saddle Creek
X-Ray Spex,Identity,Germ Free Adolescents: The Anthology,2:25,2001,Castle Communications
Against Me!,Pints of Guinness Make You Strong,Reinventing Axl Rose,2:40,2002,Fat Wreck Chords
Wye Oak,Two Small Deaths,Civilian,3:50,2011,Merge Records
Yasmin Williams,Swift Breeze,Urban Driftwood,3:01,2021,SPINSTER
"Sampa the Great, Whosane",Heaven,The Return,2:55,2019,Ninja Tune
Mo-Dettes,White Mice,Perfect Unpop: Peel Show Hits And Long Lost Lo-Fi Favourites - Vol 1. 1976-80,3:37,2008,13th Moon Recordings
Rosa Yemen,Herpes Simplex,Rosa Yemen,2:06,1980,Celluloid
"10,000 Maniacs",Candy Everybody Wants - Live Unplugged,MTV Unplugged (Live),3:19,1993,Rhino/Elektra
Kate Bush,Sat In Your Lap,The Dreaming,3:29,1982,Parlophone UK
