artist,song,release,duration,released,label
Labyrinth Ear,Humble Bones,Apparitions,4:41,2012,LE Records
Oscar #Worldpeace,Shine,Sporadic,2:22,2020,Worldpeace Records
Ballaké Sissoko,Kabou,At Peace,4:17,2012,No Format!
Xiu Xiu,Sad Pony Guerrilla Girl,A Promise,3:18,2003,5RC
Hook,Answer!,"I Love You 2, Hook",3:47,2020,GC
Hella,Biblical Violence,Hold Your Horse Is,3:03,2002,5RC
Labyrinth Ear,Amber,Apparitions,4:12,2012,LE Records
Wye Oak,Holy Holy,Civilian,4:35,2011,Merge Records
Sandro Perri,Changes,Impossible Spaces,7:35,2011,Constellation
Twelve Hour Turn,This Papermill Is Getting to Me,The Victory of Flight,3:02,1999,No Idea Records
Rubio,Coral,Pez,4:21,2018,Cosmica
Yeek,Overthinking,Valencia,2:16,2021,"Yeek, Inc."
Tirzah,Say When,Devotion,4:07,2018,Domino Recording Co
Virginia Wing,Return To View,private LIFE,3:32,2021,Fire Records
