artist,song,release,duration,released,label
Modest Mouse,Wild Packs of Family Dogs,The Moon & Antarctica,1:44,2000,Epic
Miya Folick,I Got Drunk,Strange Darling - EP,3:49,2015,Miya Folick
Natalia Lafourcade,Ya No Te Puedo Querer,Hasta la Raíz (Edición Especial),4:47,2015,RCA Records Label
Los Pirañas,El nuevo Prometeo,Una Oportunidad más de triunfar en la vida,4:32,2025,Glitterbeat Records
Mi-gu,from space,from space,5:22,2014,Universal Music LLC
"Girl Ultra, Chromeo, Empress Of",Tomás,Tomás,3:02,2025,Big Dada
Kevin Morby,City Music,City Music,6:44,2017,Dead Oceans
Kafala Brothers,N'Guxi,Salipo,3:49,1995,"MB Records, Inc."
Björk,Aurora,Vespertine,4:39,2001,Rhino/Elektra
Gyllene Tider,Sommartider,Puls,3:22,1982,Parlophone Sweden
Genesis,No Reply at All - 2007 Remaster,Abacab (2007 Remaster),4:33,1981,Rhino Atlantic
Q And Not U,End the Washington Monument (Blinks Goodnight),No Kill No Beep Beep,2:21,2000,Dischord Records
The Chameleons,Perfume Garden,What Does Anything Mean? Basically (2009 Remaster),4:35,2009,Blue Apple Music
The Chills,Pink Frost,Kaleidoscope World,4:01,1989,Fire Records
