artist,song,release,duration,released,label
The Tragically Hip,"Grace, Too",Day For Night,5:34,1994,Universal Music Canada
Deep Throat Choir,Be OK,Be OK,3:26,2017,Bella Union
FKA twigs,lightbeamers,CAPRISONGS,3:31,2022,Atlantic Records
"Yeek, Paris Texas",ETA2 (feat. Paris Texas),Future Reference,2:09,2023,Valencia House
Pet Shop Boys,Love Comes Quickly - 2001 Remaster,PopArt: The Hits,4:19,2003,Parlophone UK
Kulintang Dialect,"Binalig, Pt. 1: Sawalu",Roots Offshoots,2:25,2023,Gongs Away Music
Sonic Youth,Bull In The Heather,Hits Are For Squares,3:06,2008,Strategic Marketing
Youth Lagoon,Lucy Takes a Picture,Rarely Do I Dream,4:18,2025,Fat Possum
The Seshen,Distant Heart,Flames & Figures,3:07,2016,Tru Thoughts
Peter Gabriel,San Jacinto,Peter Gabriel 4: Security (Remastered Version),6:34,1982,Real World Productions
Kate Bush,Mother Stands For Comfort - 2018 Remaster,Hounds of Love (2018 Remaster),3:08,1985,Fish People
Dismemberment Plan,You Are Invited,Emergency & I,4:52,1999,DeSoto Records
frances mistry,live the life i'd never have,live the life i'd never have,3:48,2022,frances x
Erykah Badu,"Gone Baby, Don't Be Long",New Amerykah Part Two: Return Of The Ankh,4:39,2010,Motown
Work Wife,Control,Waste Management,2:17,2024,Born Losers Records
