artist,song,release,duration,released,label
Be Bop Deluxe,Heavenly Homes,Sunburst Finish,3:36,1976,Parlophone UK
Gilberto Gil,Ela,Refazenda,2:54,1975,WM Brazil
6LACK,That Far,That Far,3:05,2017,LVRN Records
"David Bowie, Junior's Eyes","Let Me Sleep Beside You - Dave Lee Travis Show, Recorded 20.10.69, 2000 Remaster",Bowie at the Beeb (The Best of the BBC Sessions 1968-1972),3:19,2000,Parlophone UK
Big Country,In A Big Country,The Crossing,4:44,1983,Island Mercury
Caroline Polachek,Pang,Pang,3:33,2019,Perpetual Novice
Ichiko Aoba,Pilgrimage,Windswept Adan,3:48,2020,hermine
Morrissey,Break up the Family - 2011 Remaster,Viva Hate (2011 Remaster),3:55,1988,Parlophone UK
"Blood Orange, Empress Of",Best to You,Freetown Sound,3:45,2016,Domino Recording Co
Fleetwood Mac,Caroline,Tango In The Night,3:55,1987,Warner Bros.
Katy B,Under My Skin,Under My Skin,3:18,2021,Rinse
Gang Of Four,Guns Before Butter - Remastered,Entertainment! (Expanded & Remastered) [US Release],3:45,1979,Rhino/Warner Bros.
CHVRCHES,Night Sky,The Bones of What You Believe,3:51,2013,Glassnote - VMG
Carly Rae Jepsen,Julien,Dedicated,3:54,2019,Schoolboy/Interscope Records
Les Savy Fav,Crawling Can Be Beautiful,Go Forth,2:51,2001,French Kiss
