artist,song,release,duration,released,label
Sandro Perri,Love & Light,Impossible Spaces,3:45,2011,Constellation
El Perro del Mar,Walk On By,Pale Fire,4:23,2012,The Control Group
Bronski Beat,Smalltown Boy,The Age of Consent,5:02,1984,London Records (Because Ltd)
Kate Bush,The Man with the Child in His Eyes - 2018 Remaster,The Kick Inside (2018 Remaster),2:41,1978,Fish People
David Bowie,Be My Wife - 2017 Remaster,Low (2017 Remaster),2:56,1977,Parlophone UK
Lizzy Mercier Descloux,Room Mate,Mambo Nassau,2:46,1981,ZE Records
Alpine,Crunches,Yuck,3:38,2015,Votiv Music
Cold War Kids,Rubidoux,Robbers & Cowards,11:02,2007,Cold War Kids PD
Cocteau Twins,My Love Paramour,Head Over Heels,3:39,1983,4AD
Mei Semones,Inaka,Inaka,3:05,2024,Bayonet Records
Chastity Belt,Different Now,I Used to Spend So Much Time Alone,3:48,2017,Hardly Art
Real Estate,Talking Backwards,Atlas,3:07,2014,Domino Recording Co
Ballaké Sissoko,Maimouna,At Peace,3:34,2012,No Format!
