artist,song,release,duration,released,label
D'Angelo,Really Love,Black Messiah,5:44,2014,RCA Records Label
"David Bowie, The Tony Visconti Trio","The Width of a Circle - The Sunday Show, Recorded 5.2.70; 2000 Remaster",Bowie at the Beeb (The Best of the BBC Sessions 1968-1972),5:21,2000,Parlophone UK
Evans Pyramid,Never Gonna Leave You,Evans Pyramid (1978 - 1994),6:45,2012,Cultures of Soul Records
Sonic Youth,Hey Joni (Album Version),Daydream Nation (Remastered Original Album),4:23,1988,Squeaky Squawk
Cat Power,Cross Bones Style,Moon Pix,4:32,1998,Matador
Pale Saints,Throwing Back the Apple,In Ribbons,4:09,1992,4AD
The Revillos,Rev Up,Stratoplay: The Box Set,2:20,2020,Cherry Red Records
Wye Oak,We Were Wealth,Civilian,4:38,2011,Merge Records
"Liu Fang, Alla, Ballaké Sissoko, Henri Tournier",Le bateau dragon,Le son de soie,4:14,2006,Accords Croisés
People Under The Stairs,Empty Bottles of Water,O.S.T.,3:29,2003,Om
The Chameleons,Perfume Garden,What Does Anything Mean? Basically (2009 Remaster),4:35,2009,Blue Apple Music
Oscar #Worldpeace,Shine,Sporadic,2:22,2020,Worldpeace Records
