artist,song,release,duration,released,label
Tiana Khasi,Nuketown,Nuketown,3:59,2018,Soul Has No Tempo
кауч сёрфинг,Сколько можно?,Сколько можно?,4:32,2021,давай без глупостей
"Dean Blunt, TYSON",Rinsed,Rinsed,1:46,2023,WORLD MUSIC
Cleo Sol,Promises,Mother,4:24,2021,Forever Living Originals
Doss,Strawberry,Strawberry,3:29,2021,LuckyMe
Petite Amie,Hablar de Más,Hablar de Más,3:34,2025,Petite Amie
Parchman Prison Prayer,Open the Floodgates of Heaven,Another Mississippi Sunday Morning,1:43,2025,Glitterbeat Records
John Francis Flynn,Willie Crotty,"Look Over the Wall, See the Sky",6:47,2023,River Lea Recordings
Laura Veirs,July Flame,July Flame,3:45,2010,Raven Marching Band
Grace Ives,Mirror,2nd,1:55,2019,Dots Per Inch Music
Ouri,Trance Parent,Trance Parent,3:44,2019,Ghostly International
Deftones,Change (In the House of Flies),White Pony,4:59,2000,Rhino
