artist,song,release,duration,released,label
The Sundays,Goodbye,Blind,4:44,1992,DGC
Cleo Sol,Promises,Mother,4:24,2021,Forever Living Originals
Pretenders,Stop Your Sobbing,The Singles,2:38,1987,Rhino/Warner Records
David Bowie,"London, Bye, Ta-Ta",Sound + Vision,2:37,1989,Parlophone UK
The Replacements,Alex Chilton - 2008 Remaster,Pleased to Meet Me (Expanded),3:14,1987,Rhino/Warner Records
Angelique Kidjo,Born Under Punches,Born Under Punches,3:49,2018,Kravenworks
DEVO,Gates of Steel - 2009 Remaster,Freedom of Choice (2009 Remaster; Deluxe Edition),3:28,1980,Warner Records
The Smiths,Ask - 2011 Remaster,Louder Than Bombs,3:18,1987,WM UK
Ella Mai,Boo'd Up,READY,4:16,2017,10 Summers / Interscope PS
Bob Dylan,Tangled up in Blue,Blood On The Tracks,5:41,1975,Columbia
The Cure,A Forest - 2006 Remaster,Seventeen Seconds (Deluxe Edition),5:54,1980,Rhino/Elektra
Indigo De Souza,Hold U,Any Shape You Take,4:16,2021,Saddle Creek
Marty Robbins,El Paso,Gunfighter Ballads And Trail Songs,4:19,1959,Columbia/Legacy
Kate Bush,Hounds Of Love - 2018 Remaster,Hounds of Love (2018 Remaster),3:02,1985,Fish People
