artist,song,release,duration,released,label
Björk,Sun in My Mouth,Vespertine,2:40,2001,Rhino/Elektra
Angelique Kidjo,Born Under Punches,Remain in Light,3:49,2018,Kravenworks
Virginia Wing,St. Francis Fountain,St. Francis Fountain,4:05,2021,Fire Records
DEVO,Gates of Steel,Freedom of Choice,3:27,1980,Warner Records
"Idris Ackamoor, The Pyramids",We Be All Africans,We Be All Africans,6:09,2016,Strut
Oliver Coates,Charlev,Shelley's on Zenn-La,8:27,2018,RVNG Intl.
Rajery,Pk 18,Bedia,2:31,2014,Les Studios de la Ruche
Xiu Xiu,Clowne Towne,Fabulous Muscles,3:50,2004,5RC
Autechre,F7,SIGN,5:56,2020,Warp Records
Kate Bush,Hello Earth - 2018 Remaster,Hounds of Love (2018 Remaster),6:12,1985,Rhino
Siouxsie and the Banshees,Jigsaw Feeling,The Scream,4:38,1978,UMC (Universal Music Catalogue)
R.E.M.,Carnival Of Sorts (Boxcars),Chronic Town,3:52,1982,A&M
