artist,song,release,duration,released,label
Digable Planets,La Femme Fetal,Reachin' (A New Refutation Of Time And Space),4:35,1993,Pendulum Records
Rubio,Coral,Pez,4:21,2018,Cosmica
Youssouf tapo,Allah Yé,Mali,6:45,2020,Youssouf
Q And Not U,Black Plastic Bag,Different Damage,2:15,2002,Dischord Records
Arab Strap,The First Big Weekend,Arab Strap,4:54,1996,Chemikal Underground
The Tragically Hip,Yawning Or Snarling,Day for Night (International Version),4:54,1994,Interscope
"Ibeyi, Kamasi Washington",Deathless,Ash,3:11,2017,XL Recordings
Peter Gabriel,Lay Your Hands On Me,Peter Gabriel 4: Security (Remastered Version),6:09,1982,Real World Productions
Hundred Waters,Blanket Me,Communicating,4:56,2017,OWSLA
Amadou & Mariam,Ta Promesse,La Confusion,4:03,2017,Because Music
Minus the Bear,Monkey!!!Knife!!!Fight!!!,Highly Refined Pirates,3:32,2002,Suicide Squeeze Records
"A$AP Mob, A$AP Rocky, KEY!, Gucci Mane","Please Shut Up (feat. A$AP Rocky, KEY! & Gucci Mane)",Cozy Tapes Vol. 2: Too Cozy,3:30,2017,A$AP Worldwide/Polo Grounds Music/RCA Records
Tirzah,I'm Not Dancing,I'm Not Dancing,2:16,2013,Domino Recording Co
