artist,song,release,duration,released,label
Ballaké Sissoko,Maimouna,At Peace,3:34,2012,No Format!
Christine and the Queens,Half Ladies,Christine and the Queens,4:18,2015,Because Music
Roy Woods,Snow White,Snow White,4:21,2018,OVO Sound/Warner Records
El Perro del Mar,Pale Fire,Pale Fire,5:15,2012,The Control Group
Teengirl Fantasy,Floor To Floor,7AM,5:05,2010,TGFM
IAN SWEET,#23,Shapeshifter,3:59,2016,Hardly Art
The Replacements,Alex Chilton - 2008 Remaster,Pleased to Meet Me (Expanded),3:14,1987,Rhino/Warner Records
Soccer Mommy,Blossom (Wasting All My Time),Clean,3:12,2018,Fat Possum
Hospitality,Rockets and Jets,Trouble,4:00,2014,Merge Records
Labyrinth Ear,Navy Light,Oak,3:07,2010,LE Records
Dënver,Los Adolescentes,"Música, Gramática, Gimnasia",6:47,2010,Denver
Veronica Maggio,Jag kommer,Satan i gatan,3:22,2011,Universal Music AB
Ana Tijoux,1977,1977,3:21,2010,Nacional Records
Caetano Veloso,Carolina - Remastered 2006,Caetano Veloso - 1969,2:38,1969,Universal Music Ltda.
