artist,song,release,duration,released,label
The Fall,Van Plague ?,I Am Kurious Oranj,4:56,1988,Beggars Banquet
At the Drive-In,One Armed Scissor,Relationship Of Command,4:20,2000,Twenty-First Chapter Records
Kate Bush,Constellation Of The Heart - 2018 Remaster,The Red Shoes (2018 Remaster),4:46,1993,Fish People
Yeek,Overthinking,Valencia,2:16,2021,"Yeek, Inc."
Namian Sidibé,Souna,Namian Sidibé,4:09,2023,Sahel Sounds
Stevie Nicks,How Still My Love,Bella Donna,3:54,1981,Rhino Atlantic
Blonde Redhead,Violent Life,La Mia Vita Violenta,3:51,1995,Numero Group
Labyrinth Ear,Navy Light,Oak,3:07,2010,LE Records
"Eurythmics, Annie Lennox, Dave Stewart",Never Gonna Cry Again - Remastered Version,In The Garden,3:05,1981,RCA Records Label
Annie Lennox,Walking on Broken Glass,Diva,4:13,1992,Arista
Ponytail,Jammin' on a Major Scale,Kamehameha,2:18,2006,Creative Capitalism
The Incredible String Band,The Minotaur's Song - 2010 Remaster,The Hangman's Beautiful Daughter,3:16,1968,Rhino/Elektra
Doss,Strawberry,Strawberry,3:29,2021,LuckyMe
Aphex Twin,Xtal,Selected Ambient Works 85-92,4:53,1992,R&S Records
