artist,song,release,duration,released,label
The Revillos,Where's The Boy For Me?,Stratoplay: The Box Set,2:06,2020,Cherry Red Records
Rosinha De Valença,Marinheiro Só,Um Violão em Primeiro Plano,2:37,1971,RCA Records Label
Caetano Veloso,Marinheiro Só - Remastered 2006,Caetano Veloso - 1969,3:29,1969,Universal Music Ltda.
Nahawa Doumbia,Nianimanjougou,Nianimanjougou,4:48,2019,Awesome Tapes From Africa
Tirzah,Tectonic,Tectonic,4:37,2021,Domino Recording Co
Nahawa Doumbia,Ndiagneko,Ndiagneko,4:41,2020,Awesome Tapes From Africa
Jose Mauro,Rua Dois,A Viagem das Horas,3:38,2021,Far Out Recordings
SAULT,9,Nine,5:14,2021,Forever Living Originals
"Time Cow, RTKal, Gavsborg",Elephant Man,Elephant Man,6:52,2020,Equiknoxx Music
John Carroll Kirby,Sensing Not Seeing,Sensing Not Seeing,5:33,2021,Stones Throw Records
The Seshen,Distant Heart,Flames & Figures,3:07,2016,Tru Thoughts
Flasher,Erase Myself,Flasher,3:34,2016,Sister Polygon Records
Daniel Avery,Lone Swordsman,Dusting For Smoke,3:53,2020,Mute
Orkesta Mendoza,Cumbia Volcadora,¡Vamos a Guarachar!,3:30,2016,Glitterbeat Records
Ex-Easter Island Head,Norther,Norther,6:38,2024,Rocket Recordings
