artist,song,release,duration,released,label
Veronica Maggio,Jag kommer,Satan i gatan (Bonus Version),3:22,2011,Universal Music AB
Pageninetynine,The lonesome waltz of leonard cohen,Document #8,3:53,2005,Robotic Empire
Radiohead,Subterranean Homesick Alien,OK Computer,4:27,1997,XL Recordings
Borbolla,Sé Que Eres Tú,Sé Que Eres Tú,3:57,2017,Borbolla
Sleater-Kinney,Light Rail Coyote,One Beat,3:10,2002,Kill Rock Stars
Namian Sidibé,Nadjan Ka Fala,Namian Sidibé,5:22,2023,Sahel Sounds
D'Angelo,The Root,Voodoo,6:33,2000,Virgin Records
Dustin Wong,Tea Tree Leaves Retreat,"Dreams Say, View, Create, Shadow Leads",3:23,2012,Thrill Jockey
The Smashing Pumpkins,Cupid De Locke - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),2:50,1995,Virgin Records
Julianna Barwick,The Magic Place,The Magic Place,3:51,2011,Florid Recordings
Snook,Lang Gsuacht,Rapquotient,3:06,2011,Nation Music
R.E.M.,Voice Of Harold,Dead Letter Office,4:25,1987,A&M
Annie Lennox,Why,Diva,4:53,1992,Arista
Jay Som,Baybee,Everybody Works,3:45,2017,Polyvinyl Records
