artist,song,release,duration,released,label
Hook,4:47am,"I Love You 2, Hook",1:48,2020,GC
Porte Diferente,Por Tu Culpa,Con Un Porte Diferente,3:48,2020,Rancho Humilde
New Order,The Village,"Power, Corruption & Lies [Collector's Edition]",4:37,1983,Rhino/Warner Bros.
Les Savy Fav,Reprobate''s Resume,Go Forth,3:14,2001,French Kiss
Weldon Irvine,Love Your Brother,Cosmic Vortex (Justice Divine),5:18,1974,RCA/Legacy
Bat For Lashes,What's A Girl To Do?,Fur and Gold,2:58,2006,Echo
Congreso,Premio de Consuelo,La Canción Que Te Debía,3:47,2017,Independiente
The Wolfgang Press,King Of Soul,Bird Wood Cage,4:01,1988,4AD
Aktion,Groove The Funk,"Wake Up You! The Rise and Fall of Nigerian Rock, Vol. 1 (1972-1977)",4:54,2016,Now Again Records
The Rapture,House Of Jealous Lovers,Echoes,5:04,2003,EMI
Gang Of Four,Guns Before Butter,Entertainment!,3:45,1979,Matador
I Hate Myself,Not Waving But Drowning,Ten Songs,3:49,2000,No Idea Records
No Somos Marineros,D'arcy,D'arcy,6:35,2017,No Somos Marineros
Hook,Imy,"I Love You 2, Hook",2:31,2020,GC
