artist,song,release,duration,released,label
Spacemen 3,Come Down Softly To My Soul,Playing With Fire,3:46,1989,Space Age Recordings
Mor Thiam,Yaral Sa Doom,Back to Africa,4:17,1999,Justin Time Records
Dustin Wong,Tea Tree Leaves Retreat,"Dreams Say, View, Create, Shadow Leads",3:23,2012,Thrill Jockey
Asobi Seksu,Pink Cloud Tracing Paper,Citrus,3:27,2006,Friendly Fire Recordings
"Itamar Assumpção, As Orquídeas do Brasil",Tua Boca,"Bicho de 7 Cabeças, Vol. 3",3:09,1994,Baratos Afins
Joy Division,Heart and Soul - 2007 Remaster,Closer (Collector's Edition),5:53,1980,London Records
The Funkees,Slipping into Darkness,"Wake Up You! The Rise and Fall of Nigerian Rock, Vol. 2 (1972-1977)",4:23,2016,Now Again Records
King Coya,Villa Donde,Cumbias de Villa Donde,4:44,2011,ZZK Records
Tidiane Thiam,Dannibe,Siftorde,3:47,2020,Sahel Sounds
Akalé Wubé,Bazay,Akalé Wubé,5:58,2010,ClapSon
Afros e Afoxés,Oju-Obá,Afros e Afoxés da Bahia,3:44,2019,Mauricio World Music
Tiziano Tononi,Awake Nu - Original Version,Awake Nu (A Tribute To Don Cherry) Vol. 1 & 2,4:33,2015,Splasc(h) Records
Herencia de Timbiqui,Amanecé,This Is Gozar,4:04,2015,Herencia de Timbiqui
Chief Commander Ebenezer Obey,Ijesha,51 Lex Presents: Edumare Adupe,3:11,2006,EOM 2
