artist,song,release,duration,released,label
Solange,Losing You,True,4:20,2012,Terrible Records PD
Veronica Maggio,Välkommen in,Satan i gatan,3:32,2011,Universal Music AB
Clikatat Ikatowi,Identity Crisis,Orchestrated and Conducted By,3:31,1996,Gravity Records
The Incredible String Band,The Minotaur's Song - 2010 Remaster,The Hangman's Beautiful Daughter,3:16,1968,Rhino/Elektra
Little Simz,"Little Q, Pt. 2",Sometimes I Might Be Introvert,3:46,2021,AGE 101
The Fall,"Wrong Place, Right Time",I Am Kurious Oranj,2:52,1988,Beggars Banquet
The Chameleons,Perfume Garden,What Does Anything Mean? Basically (2009 Remaster),4:35,2009,Blue Apple Music
Melt-Banana,"Warp, Back Spin",Teeny Shiny,1:46,2000,AZAP
múm,K/Half Noise,Finally We Are No One,8:41,2002,Fatcat Records
Cat Power,Nude As The News,What Would The Community Think,4:23,1996,Matador
Mogwai,Stanley Kubrick,EP+6,4:19,2000,Chemikal Underground
Juana Molina,Quien?,Segundo,2:40,2003,Domino Recording Co.
Cocteau Twins,Aloysius,Treasure,3:26,1984,4AD
Natty Reeves,5:23am,5:23am,3:35,2021,DeepMatter Records
Snail Mail,Full Control,Lush,2:55,2018,Matador
