artist,song,release,duration,released,label
ZAZEN BOYS,ブッカツ帰りのハイスクールボーイ,らんど,4:37,2024,MATSURI STUDIO
Gastr Del Sol,The Seasons Reverse,Camoufleur,5:51,1998,Drag City Records
Soccer Mommy,Skin,Clean,4:01,2018,Fat Possum
A Perfect Circle,3 Libras,Mer De Noms,3:39,2000,Virgin Records
The Sundays,I Feel,Blind,4:02,1992,DGC
Haircut 100,Love Plus One,Pelican West - 40th Anniversary,3:33,2023,Sony Music CG
The Bee Eaters,The Tree Climber,The Bee Eaters,4:09,2009,The Bee Eaters
Radiohead,Prove Yourself,Pablo Honey,2:25,1993,XL Recordings
Toulouse,C'est toujours à recommencer,Tous les succès,3:28,1977,UNIDISC MUSIC INC.
Brendan Eder Ensemble,Pure (Ride the World),Therapy,3:18,2023,Brendan Eder Ensemble
John Prine,Summer's End,The Tree of Forgiveness,3:29,2018,Oh Boy Records
Kikagaku Moyo,Cardigan Song,House in the Tall Grass,4:49,2016,Guruguru Brain
fra fra,You Can't Escape Death,Funeral Songs,8:34,2020,Glitterbeat Records
