artist,song,release,duration,released,label
Archie Whitewater,Cross Country,Archie Whitewater,3:21,1970,Geffen
Altin Gün,Yüce Dag Basinda,Yol,4:18,2021,ATO Records
Jessy Lanza,Kathy Lee,Pull My Hair Back,4:08,2014,Hyperdub
Sonic Youth,Bull In The Heather,Hits Are For Squares,3:06,2008,Strategic Marketing
Caetano Veloso,Terra,Caetano Veloso,5:12,1986,Nonesuch
Barney Kessel,"On A Clear Day, You Can See Forever",Blue Guitar,4:48,2006,Fuel 2000
The Smiths,This Night Has Opened My Eyes - 2011 Remaster,Hatful of Hollow,3:41,1984,WM UK
David Bowie,Be My Wife - 1999 Remaster,Low (1999 Remaster),2:56,1977,Parlophone UK
the bird and the bee,Los Angeles,Recreational Love,3:29,2015,Rostrum Records
Erykah Badu,"Gone Baby, Don't Be Long",New Amerykah Part Two: Return Of The Ankh,4:39,2010,Motown
Labyrinth Ear,Lorna,The Orchid Room (Deluxe Edition),3:56,2014,LE Records
Enon,Daughter in the House of Fools,Hocus Pocus,2:52,2003,Touch and Go Records
Broken Social Scene,Swimmers,Broken Social Scene,2:55,2005,Arts & Crafts
Orange Juice,Three Cheers For Our Side,Coals To Newcastle,2:52,2010,Domino Recording Co.
Natalia Lafourcade,Mi Lugar Favorito,Hasta la Raíz (Edición Especial),4:57,2015,RCA Records Label
