artist,song,release,duration,released,label
Dom Kennedy,The 76,"Los Angeles Is Not for Sale, Vol. 1",4:18,2016,The Other People's Money Company
"Eurythmics, Annie Lennox, Dave Stewart",Take Me to Your Heart - 2018 Remastered,In the Garden (2018 Remastered),3:33,1981,Sony Music CG
Lonnie Holley,Here I Stand Knocking at Your Door,Just Before Music,3:31,2012,Dust-to-Digital
Lykke Li,Breaking It Up,Youth Novels,3:40,2008,Atlantic Records UK
Fémina,Buen Viaje,Traspasa,3:33,2014,Fémina
"Freeway, JAY-Z, Beanie Sigel",What We Do,Philadelphia Freeway,3:49,2003,Roc-A-Fella
The Sundays,Goodbye,Blind,4:44,1992,DGC
Tierra Whack,Dora,Dora,2:27,2020,Tierra Whack
Soccer Mommy,crawling in my skin,color theory,4:17,2020,Loma Vista Recordings
R.E.M.,Crazy,Dead Letter Office,3:03,1987,A&M
fra fra,You Can't Escape Death,Funeral Songs,8:34,2020,Glitterbeat Records
Kississippi,Mirror Kisser,Sunset Blush,2:48,2018,Bug Crusher Records
Kate Bush,Hounds Of Love - 2018 Remaster,Hounds of Love (2018 Remaster),3:02,1985,Rhino
The Cure,The Caterpillar - 2006 Remaster,The Top,3:41,1984,Rhino/Elektra
3 Of A Kind,Babycakes,Babycakes,2:34,2004,Relentless/Virgin
