artist,song,release,duration,released,label
Les Filles de Illighadad,Irriganan,Irriganan,6:50,2021,Sahel Sounds
Lizzy Mercier Descloux,Room Mate,Mambo Nassau,2:46,1981,ZE Records
Royale,I Want Your Body,Evans Pyramid (1978 - 1994),5:11,2012,Cultures of Soul Records
Virginia Wing,Soft Fruit,private LIFE,3:33,2021,Fire Records
Tirzah,No Romance,No Romance,3:57,2014,Greco-Roman
Jason Joshua,Se Acabó,Se Acabó,4:15,2021,Penrose Records
Rosinha De Valença,Asa Branca,Um Violão em Primeiro Plano,4:12,1971,RCA Records Label
Daughter,Still,If You Leave,3:32,2013,Glassnote Entertainment Group LLC
Ballaké Sissoko,Asa branca,At Peace,3:11,2012,No Format!
Lingo Seini et son groupe,Gomno,Gomno,3:23,2020,Sahel Sounds
Foli Griô Orquestra,Revolta das Águas,Revolta das Águas,7:37,2017,Mondé
Snaarj,Ft Knox,Snaarj II,3:04,2021,Snaarj
Tchiss Lopes,Mundo d'Margura,Space Echo (Analog Africa No. 20),3:04,2016,Analog Africa
Labi Siffre,Bless the Telephone,The Singer & The Song,1:40,1971,Edsel
