artist,song,release,duration,released,label
Salami Rose Joe Louis,That must be hard for you,Lorings,2:55,2025,Brainfeeder
Asobi Seksu,Pink Cloud Tracing Paper,Citrus,3:27,2006,Friendly Fire Recordings
Cat Power,He War,You Are Free,3:29,2003,Matador
Ought,Beautiful Blue Sky,Sun Coming Down,7:43,2015,Constellation
Twelve Hour Turn,How to Build,The Victory of Flight,1:35,1999,No Idea Records
Roger Doyle,Spring Is Coming With a Strawberry in the Mouth,"Operating Theatre the Early Years, Vol. 2",4:23,2012,1185574 Records DK
Syd,Fast Car,Broken Hearts Club,3:30,2022,Columbia
Bob Dylan,You're Gonna Make Me Lonesome When You Go,Blood On The Tracks,2:54,1975,Columbia
Fer Casillas,Tropezar,Tropezar,2:44,2025,LOV/RECS
Julia Mestre,do do u,DO MEU QUARTO,1:53,2024,DO MEU QUARTO
Talk Talk,The Rainbow - 1997 Remaster,Spirit of Eden,9:09,1988,Parlophone UK
The Go-Betweens,Cattle And Cane,Before Hollywood,4:22,1983,Domino Recording Co
Teengirl Fantasy,Floor To Floor,7AM,5:05,2010,TGFM
