artist,song,release,duration,released,label
Saetia,Some Natures Catch No Plagues,Collected,4:15,2016,Secret Voice Records
Norma Tanega,You're Dead,Walkin' My Cat Named Dog,2:23,1966,Rhino
Solange,Down With the Clique,When I Get Home,3:42,2019,Saint Records/Columbia
Galaxie 500,King of Spain,Today,4:33,1988,20/20/20
Alex G,Sportstar,Rocket,3:51,2017,Domino Recording Co
Nahawa Doumbia,Tou Dibile,Tou Dibile,2:32,2019,Awesome Tapes From Africa
El de La Guitarra,Botas Ariat,Botas Ariat,3:03,2020,Rancho Humilde
Justin Bieber,What Do You Mean?,Purpose (Deluxe),3:25,2015,RBMG/Def Jam
Daughter,Human,If You Leave,3:31,2013,Glassnote
Lorde,Ribs,Pure Heroine,4:18,2013,Universal Music New Zealand Limited
The Cleaners From Venus,Wivenhoe Bells (II),Midnight Cleaners,4:23,1982,Mr Mule
The Fall,Van Plague?,I Am Kurious Oranj,4:56,1988,Beggars Banquet
Be Bop Deluxe,Sister Seagull,Air Age Anthology,3:39,1997,Parlophone UK
Ida Maria,Oh My God,Fortress 'round My Heart (Deluxe Edition),3:18,2008,Mercury Records
Modest Mouse,A Life of Arctic Sounds,Building Nothing out of Something,2:29,2000,Glacial Pace
