artist,song,release,duration,released,label
Indigo De Souza,Hold U,Hold U,4:16,2021,Saddle Creek
Aphex Twin,Xtal,Selected Ambient Works 85-92,4:53,1992,R&S Records
Janet Jackson,No Sleeep,No Sleeep,3:26,2015,Rhythm Nation/BMG Recorded Music
The Smiths,Ask - 2011 Remaster,Louder Than Bombs,3:18,1987,WM UK
The Feelies,The Boy With The Perpetual Nervousness,Crazy Rhythms,5:11,2009,Bar/None Records
Yusuf / Cat Stevens,Don't Be Shy,Tea For The Tillerman (Super Deluxe),2:51,2020,UMC (Universal Music Catalogue)
Sarkodie,Bumper,Bumper,2:58,2020,Sarkcess/Eagle
Animal Collective,Bat You'll Fly,"Spirit They’re Gone, Spirit They’ve Vanished",5:03,2000,Domino Recording Co
Catherine Wheel,Black Metallic,Ferment,7:18,1992,EMI
Stevie Nicks,How Still My Love,Bella Donna,3:54,1981,Rhino Atlantic
Nico Segal,Just Wait,Surf,3:47,2015,Donnie Trumpet & The Social Experiment
"David Bowie, The Tony Visconti Trio","Unwashed and Somewhat Slightly Dazed - The Sunday Show, Recorded 5.2.70; 2000 Remaster",Bowie at the Beeb (The Best of the BBC Sessions 1968-1972),5:07,2000,Parlophone UK
Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),5:00,1985,Rhino
Amadou & Mariam,M' Bife,Dimanche à Bamako,2:11,2005,Because Music
